ID_marked,original_case_study_title,original_source_citation
R-153,,"Miatto et al., 2019"
R-154,,"Miatto et al., 2019"
R-155,,"Miatto et al., 2019"
R-156,A database seed for a community-driven material intensity research platform,"Heeren, N. and Fishman, T. (2019). A database seed for a community-driven material intensity research platform. Scientific Data, 6(1)."
R-157,,"Heeren et al., 2019"
R-158,,"Heeren et al., 2019"
R-159,,"Heeren et al., 2019"
R-160,,"Heeren et al., 2019"
R-161,,"Heeren et al., 2019"
R-162,,"Heeren et al., 2019"
R-163,,"Heeren et al., 2019"
R-164,,"Heeren et al., 2019"
R-165,,"Heeren et al., 2019"
R-166,,"Heeren et al., 2019"
R-167,,"Heeren et al., 2019"
R-168,,"Heeren et al., 2019"
R-169,Wood as a building material in the light of environmental assessment of full life cycle of four buildings,"Pajchrowski, G., Noskowiak, A., Lewandowska, A., & Strykowski, W. (2014). Wood as a building material in the light of environmental assessment of full life cycle of four buildings. Construction and Building Materials"
R-170,,"Pajchrowski, Noskowiak, Lewandowska, & Strykowski, 2014"
R-171,,"Pajchrowski, Noskowiak, Lewandowska, & Strykowski, 2014"
R-172,,"Pajchrowski, Noskowiak, Lewandowska, & Strykowski, 2014"
R-173,Environmental Improvement Potentials of Residential Buildings (IMPRO-Building),"Nemry, F., & Uihlein, A. (2008). Environmental Improvement Potentials of Residential Buildings (IMPRO-Building). https://doi.org/10.2791/38942"
R-174,,"Nemry & Uihlein, 2008"
R-175,,"Nemry & Uihlein, 2008"
R-176,,"Nemry & Uihlein, 2008"
R-177,,"Nemry & Uihlein, 2008"
R-178,,"Nemry & Uihlein, 2008"
R-179,,"Nemry & Uihlein, 2008"
R-180,,"Nemry & Uihlein, 2008"
R-181,,"Nemry & Uihlein, 2008"
R-182,,"Nemry & Uihlein, 2008"
R-183,,"Nemry & Uihlein, 2008"
R-184,,"Nemry & Uihlein, 2008"
R-185,,"Nemry & Uihlein, 2008"
R-186,,"Nemry & Uihlein, 2008"
R-187,,"Nemry & Uihlein, 2008"
R-188,,"Nemry & Uihlein, 2008"
R-189,,"Nemry & Uihlein, 2008"
R-190,,"Nemry & Uihlein, 2008"
R-191,,"Nemry & Uihlein, 2008"
R-192,,"Nemry & Uihlein, 2008"
R-193,,"Nemry & Uihlein, 2008"
R-194,,"Nemry & Uihlein, 2008"
R-195,,"Nemry & Uihlein, 2008"
R-196,,"Nemry & Uihlein, 2008"
R-197,,"Nemry & Uihlein, 2008"
R-198,,"Nemry & Uihlein, 2008"
R-199,,"Nemry & Uihlein, 2008"
R-200,,"Nemry & Uihlein, 2008"
R-201,,"Nemry & Uihlein, 2008"
R-202,,"Nemry & Uihlein, 2008"
R-203,,"Nemry & Uihlein, 2008"
R-204,,"Nemry & Uihlein, 2008"
R-205,,"Nemry & Uihlein, 2008"
R-206,,"Nemry & Uihlein, 2008"
R-207,,"Nemry & Uihlein, 2008"
R-208,,"Nemry & Uihlein, 2008"
R-209,,"Nemry & Uihlein, 2008"
R-210,,"Nemry & Uihlein, 2008"
R-211,,"Nemry & Uihlein, 2008"
R-212,,"Nemry & Uihlein, 2008"
R-213,,"Nemry & Uihlein, 2008"
R-214,,"Nemry & Uihlein, 2008"
R-215,,"Nemry & Uihlein, 2008"
R-216,,"Nemry & Uihlein, 2008"
R-217,,"Nemry & Uihlein, 2008"
R-218,,"Nemry & Uihlein, 2008"
R-219,"Life cycle energy (LCEA) and carbon dioxide emissions (LCCO2A) assessment of two residential buildings in Gaziantep, Turkey","Atmaca, A., & Atmaca, N. (2015). Life cycle energy (LCEA) and carbon dioxide emissions (LCCO2A) assessment of two residential buildings in Gaziantep, Turkey. Energy and Buildings https://doi.org/10.1016/j.enbuild.2015.06.008"
R-220,,"Atmaca & Atmaca, 2015"
R-221,Reducing the total life cycle energy demand of recent residential buildings in Lebanon,"Stephan, A., & Stephan, L. (2014). Reducing the total life cycle energy demand of recent residential buildings in Lebanon. Energy. https://doi.org/10.1016/j.energy.2014.07.028"
R-222,Life cycle assessment of a three-bedroom house in Saudi Arabia,"Asif, M., Dehwah, A., Ashraf, F., Khan, H., Shaukat, M., & Hassan, M. (2017). Life Cycle Assessment of a Three-Bedroom House in Saudi Arabia. Environments. https://doi.org/10.3390/environments4030052"
R-223,Environmental assessment of popular single-family house construction alternatives in Jordan,"El Hanandeh, A. (2015). Environmental assessment of popular single-family house construction alternatives in Jordan. Building and Environment. https://doi.org/10.1016/j.buildenv.2015.04.032"
R-224,,"El Hanandeh, 2015"
R-225,A case study on life cycle energy use of residential building in Southern India,"Pinky Devi, L., & Palaniappan, S. (2014). A case study on life cycle energy use of residential building in Southern India. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2014.05.034"
R-226,Effect of construction materials on embodied energy and cost of buildings - A case study of residential houses in India up to 60 m2 of plinth area,"Bansal, D., Singh, R., & Sawhney, R. L. (2014). Effect of construction materials on embodied energy and cost of buildings - A case study of residential houses in India up to 60 m2of plinth area. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2013.11.006"
R-227,,"Bansal, Singh, & Sawhney, 2014"
R-228,,"Bansal, Singh, & Sawhney, 2014"
R-229,,"Bansal, Singh, & Sawhney, 2014"
R-230,,"Bansal, Singh, & Sawhney, 2014"
R-231,,"Bansal, Singh, & Sawhney, 2014"
R-232,,"Bansal, Singh, & Sawhney, 2014"
R-233,,"Bansal, Singh, & Sawhney, 2014"
R-234,,"Bansal, Singh, & Sawhney, 2014"
R-235,,"Bansal, Singh, & Sawhney, 2014"
R-236,,"Bansal, Singh, & Sawhney, 2014"
R-237,,"Bansal, Singh, & Sawhney, 2014"
R-238,,"Bansal, Singh, & Sawhney, 2014"
R-239,,"Bansal, Singh, & Sawhney, 2014"
R-240,,"Bansal, Singh, & Sawhney, 2014"
R-241,,"Bansal, Singh, & Sawhney, 2014"
R-242,,"Bansal, Singh, & Sawhney, 2014"
R-243,,"Bansal, Singh, & Sawhney, 2014"
R-244,,"Bansal, Singh, & Sawhney, 2014"
R-245,,"Bansal, Singh, & Sawhney, 2014"
R-246,,"Bansal, Singh, & Sawhney, 2014"
R-247,,"Bansal, Singh, & Sawhney, 2014"
R-248,,"Bansal, Singh, & Sawhney, 2014"
R-249,,"Bansal, Singh, & Sawhney, 2014"
R-250,,"Bansal, Singh, & Sawhney, 2014"
R-251,,"Bansal, Singh, & Sawhney, 2014"
R-252,,"Bansal, Singh, & Sawhney, 2014"
R-253,,"Bansal, Singh, & Sawhney, 2014"
R-254,"A methodology for energy performance classification of residential building stock
of Hamirpur","Sharma, A., & Marwaha, B. M. (2015). A methodology for energy performance classification of residential building stock of Hamirpur. HBRC Journal. https://doi.org/10.1016/j.hbrcj.2015.11.003"
R-255,,"Sharma & Marwaha, 2015"
R-256,Life cycle energy analysis of a residential building with different envelopes and climates in Indian context,"Ramesh, T., Prakash, R., & Shukla, K. K. (2012). Life cycle energy analysis of a residential building with different envelopes and climates in Indian context. Applied Energy https://doi.org/10.1016/j.apenergy.2011.05.054"
R-257,Embodied energy analysis of adobe house,"Shukla, A., Tiwari, G. N., & Sodha, M. S. (2009). Embodied energy analysis of adobe house. Renewable Energy. https://doi.org/10.1016/j.renene.2008.04.002"
R-258,A database seed for a community-driven material intensity research platform,"Heeren, N. and Fishman, T. (2019). A database seed for a community-driven material intensity research platform. Scientific Data, 6(1)."
R-259,,"Heeren et al., 2020"
R-260,,"Heeren et al., 2021"
R-261,,"Heeren et al., 2022"
R-262,,"Lee, Tae, Gong, & Roh, 2017"
